"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test deletes an author and verifies that response status code is 200","756","deleteAuthor","Surefire suite","Fri May 02 21:18:27 UTC 2025","passed","Fri May 02 21:18:28 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","deleteAuthor"
"Test get an author by ID and verifies that response status code is 200","383","getAuthorById","Surefire suite","Fri May 02 21:18:29 UTC 2025","passed","Fri May 02 21:18:30 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","getAuthorById"
"Test update an author with an invalid ID and verifies that response status code is 404","362","updateAuthorWithInvalidId","Surefire suite","Fri May 02 21:18:32 UTC 2025","failed","Fri May 02 21:18:32 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","updateAuthorWithInvalidId"
"Test adds an author with null required data (idBook) and verifies that response status code is 400","372","addAuthorWithNoBookId","Surefire suite","Fri May 02 21:18:26 UTC 2025","passed","Fri May 02 21:18:27 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","addAuthorWithNoBookId"
"Test creates then updates a book and verifies that response status code is 200","726","updateBook","Surefire suite","Fri May 02 21:18:36 UTC 2025","passed","Fri May 02 21:18:37 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","updateBook"
"Test get all authors and verifies that response status code is 200","373","getAllAuthors","Surefire suite","Fri May 02 21:18:29 UTC 2025","passed","Fri May 02 21:18:29 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","getAllAuthors"
"Test deletes a book and verifies that response status code is 200","697","deleteBook","Surefire suite","Fri May 02 21:18:33 UTC 2025","passed","Fri May 02 21:18:34 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","deleteBook"
"Test get a book by ID and verifies that response status code is 200","419","getBookById","Surefire suite","Fri May 02 21:18:35 UTC 2025","passed","Fri May 02 21:18:35 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","getBookById"
"Test adds an author with null required data (id) and verifies that response status code is 400","352","addAuthorWithNoId","Surefire suite","Fri May 02 21:18:27 UTC 2025","passed","Fri May 02 21:18:27 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","addAuthorWithNoId"
"Test creates then updates an author and verifies that response status code is 200","739","updateAuthor","Surefire suite","Fri May 02 21:18:31 UTC 2025","passed","Fri May 02 21:18:32 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","updateAuthor"
"Test get a book by invalid ID and verifies that response status code is 404","441","getBookByInvalidId","Surefire suite","Fri May 02 21:18:35 UTC 2025","passed","Fri May 02 21:18:36 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","getBookByInvalidId"
"Test get an author by invalid ID and verifies that response status code is 404","371","getAuthorByInvalidId","Surefire suite","Fri May 02 21:18:30 UTC 2025","passed","Fri May 02 21:18:30 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","getAuthorByInvalidId"
"Test deletes an author and verifies that response status code is 200","779","deleteAuthor","Surefire suite","Fri May 02 21:18:28 UTC 2025","passed","Fri May 02 21:18:28 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","deleteAuthor"
"Test patching an author, expecting 405 status code","386","patchAuthor","Surefire suite","Fri May 02 21:18:30 UTC 2025","passed","Fri May 02 21:18:30 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","patchAuthor"
"Test update a book with an invalid ID and verifies that response status code is 404","349","updateBookWithInvalidId","Surefire suite","Fri May 02 21:18:37 UTC 2025","failed","Fri May 02 21:18:37 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","updateBookWithInvalidId"
"Test adds an author and verifies that response status code is 200","2829","addAuthor","Surefire suite","Fri May 02 21:18:23 UTC 2025","passed","Fri May 02 21:18:26 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","addAuthor"
"Test get all books and verifies that response status code is 200","482","getAllBooks","Surefire suite","Fri May 02 21:18:34 UTC 2025","passed","Fri May 02 21:18:34 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","getAllBooks"
"Test deletes an author with an invalid ID and verifies that response status code is 404","368","deleteAuthorWithInvalidId","Surefire suite","Fri May 02 21:18:28 UTC 2025","failed","Fri May 02 21:18:29 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","deleteAuthorWithInvalidId"
"Test patching a book, expecting 405 status code","348","patchBook","Surefire suite","Fri May 02 21:18:36 UTC 2025","passed","Fri May 02 21:18:36 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","patchBook"
"Test adds a book with invalid empty data and verifies that response status code is 400","348","addBookWithInvalidData","Surefire suite","Fri May 02 21:18:33 UTC 2025","passed","Fri May 02 21:18:33 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","addBookWithInvalidData"
"Test creates then updates an author and verifies that response status code is 200","718","updateAuthor","Surefire suite","Fri May 02 21:18:30 UTC 2025","passed","Fri May 02 21:18:31 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","updateAuthor"
"Test deletes a book with an invalid ID and verifies that response status code is 404","348","deleteBookWithInvalidId","Surefire suite","Fri May 02 21:18:34 UTC 2025","failed","Fri May 02 21:18:34 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","deleteBookWithInvalidId"
"Test adds an author and verifies that response status code is 200","414","addAuthor","Surefire suite","Fri May 02 21:18:26 UTC 2025","passed","Fri May 02 21:18:26 UTC 2025","bookstore.tests.AuthorTests","Surefire test","bookstore.tests.AuthorTests","addAuthor"
"Test get authors of a book using invalid ID returns 404","348","getAuthorsOfBookWithInvalidId","Surefire suite","Fri May 02 21:18:34 UTC 2025","passed","Fri May 02 21:18:35 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","getAuthorsOfBookWithInvalidId"
"Test adds a book and verifies that response status code is 200","359","addBook","Surefire suite","Fri May 02 21:18:32 UTC 2025","passed","Fri May 02 21:18:33 UTC 2025","bookstore.tests.BookTests","Surefire test","bookstore.tests.BookTests","addBook"
